name,album,release_date,track_number,id,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,duration_ms,album_popularity
72 Seasons,72 Seasons,2023-04-14,1,4poeu6nUr4UQo1RXpp29Js,spotify:track:4poeu6nUr4UQo1RXpp29Js,4.01e-05,0.193,0.983,0.0375,0.0645,-3.929,0.0591,168.193,0.385,51,459120,59
Shadows Follow,72 Seasons,2023-04-14,2,1XcRSCO0AbSIX4f6z29MFn,spotify:track:1XcRSCO0AbSIX4f6z29MFn,0.000121,0.313,0.979,0.0313,0.261,-3.907,0.0462,178.884,0.678,49,371880,59
Screaming Suicide,72 Seasons,2023-04-14,3,2zSb2Db4kNYH5qIs5V3BgG,spotify:track:2zSb2Db4kNYH5qIs5V3BgG,2.42e-05,0.425,0.972,0.0202,0.239,-3.448,0.045,101.125,0.282,52,330453,59
Sleepwalk My Life Away,72 Seasons,2023-04-14,4,1WjgFpSxwA0Bqyr7hWc3f1,spotify:track:1WjgFpSxwA0Bqyr7hWc3f1,1.73e-05,0.43,0.95,0.0641,0.103,-4.203,0.034,124.931,0.543,44,416066,59
You Must Burn!,72 Seasons,2023-04-14,5,6HMs5zF1uidrx8UHAZdSVe,spotify:track:6HMs5zF1uidrx8UHAZdSVe,0.000122,0.397,0.958,0.0203,0.0378,-3.088,0.0341,85.836,0.416,44,423013,59
Lux Æterna,72 Seasons,2023-04-14,6,18zjwSgYiwu1Meb7Po3tUP,spotify:track:18zjwSgYiwu1Meb7Po3tUP,1.15e-05,0.386,0.996,0.000836,0.116,-2.96,0.0754,130.573,0.188,55,205679,59
Crown of Barbed Wire,72 Seasons,2023-04-14,7,1FdinUvlpQj2nqbzuS7XRw,spotify:track:1FdinUvlpQj2nqbzuS7XRw,2.06e-05,0.437,0.964,0.0411,0.0598,-4.012,0.0367,111.699,0.249,42,349400,59
Chasing Light,72 Seasons,2023-04-14,8,5krkEca0E6k01D2CYvLuZx,spotify:track:5krkEca0E6k01D2CYvLuZx,2e-05,0.243,0.982,0.0448,0.421,-3.626,0.0547,182.806,0.652,41,405106,59
If Darkness Had a Son,72 Seasons,2023-04-14,9,3i4Nwzze8zflIoKsuoeBPM,spotify:track:3i4Nwzze8zflIoKsuoeBPM,2.3e-05,0.47,0.945,0.00544,0.0399,-4.378,0.045,123.398,0.379,48,396293,59
Too Far Gone?,72 Seasons,2023-04-14,10,7KdgYr9jNkQO1Au7BGjGLW,spotify:track:7KdgYr9jNkQO1Au7BGjGLW,2.77e-05,0.462,0.99,0.0261,0.0999,-4.134,0.047,96.579,0.492,48,273693,59
Room of Mirrors,72 Seasons,2023-04-14,11,07gm9g5b2LF3XJfYPnsVsj,spotify:track:07gm9g5b2LF3XJfYPnsVsj,1.95e-05,0.263,0.989,0.0535,0.112,-3.45,0.0533,159.332,0.68,42,333706,59
Inamorata,72 Seasons,2023-04-14,12,4q55PFuLhKPB1JT1ZqYhsL,spotify:track:4q55PFuLhKPB1JT1ZqYhsL,0.000289,0.495,0.872,0.00894,0.0626,-4.062,0.0329,120.443,0.308,45,670253,59
The Ecstasy of Gold (Live),S&M2,2020-08-28,1,0L5ZW54haCFM84is0UhLjj,spotify:track:0L5ZW54haCFM84is0UhLjj,0.0741,0.112,0.616,0.303,0.975,-11.209,0.0837,68.481,0.124,31,161053,45
The Call of Ktulu (Live),S&M2,2020-08-28,2,2v0QgowVkLxj9cB1jzj3C0,spotify:track:2v0QgowVkLxj9cB1jzj3C0,5.02e-05,0.226,0.899,0.79,0.552,-8.021,0.0754,133.271,0.0811,30,554413,45
For Whom the Bell Tolls (Live),S&M2,2020-08-28,3,5YPzY1EmlXP7RoPz3dvhY8,spotify:track:5YPzY1EmlXP7RoPz3dvhY8,7.55e-06,0.276,0.949,0.109,0.876,-7.676,0.0867,131.589,0.118,32,276640,45
The Day that Never Comes (Live),S&M2,2020-08-28,4,5bpoBNwWolJcSlZRi3UPHx,spotify:track:5bpoBNwWolJcSlZRi3UPHx,0.000116,0.298,0.917,0.0416,0.906,-9.244,0.0797,136.026,0.231,31,506853,45
The Memory Remains (Live),S&M2,2020-08-28,5,6HniW4lKCUneQnNOFm6Fdw,spotify:track:6HniW4lKCUneQnNOFm6Fdw,0.00225,0.176,0.831,0.00234,0.903,-9.025,0.0638,81.541,0.11,30,342437,45
Confusion (Live),S&M2,2020-08-28,6,40EPUsKIP6KMXy0tkkIhdL,spotify:track:40EPUsKIP6KMXy0tkkIhdL,2.2e-05,0.356,0.969,0.0607,0.972,-7.569,0.0977,126.284,0.216,27,401295,45
Moth Into Flame (Live),S&M2,2020-08-28,7,35YBgQqJmonhnnrukXqZXl,spotify:track:35YBgQqJmonhnnrukXqZXl,1.6e-05,0.324,0.943,0.0117,0.775,-8.036,0.067,93.584,0.209,28,377800,45
